00h29m12s +02d52m00s
00h29m12s +02d51m00s
00h29m12s -00d10m00s
00h29m18s +02d52m00s
00h29m36s -33d16m00s
00h29m36s -09d03m00s
00h29m36s +21d29m00s
00h29m54s +60d14m00s
00h30m12s +02d06m00s
00h30m24s -33d15m00s
00h30m54s -12d44m00s
00h31m00s +05d10m00s
00h31m00s +05d05m00s
00h31m06s +10d11m00s
00h31m12s +63d22m00s
00h31m12s +30d51m00s
00h31m12s -00d24m00s
00h31m18s +30d47m00s
00h31m18s -22d37m00s
00h31m24s +05d11m00s
00h31m24s -22d34m00s
00h31m24s -22d39m00s
00h31m30s +61d32m00s
00h31m42s -05d09m00s
00h31m48s -13d22m00s
00h31m48s -13d20m00s
00h32m42s -25d35m00s
00h32m48s -73d09m00s
00h33m06s +63d18m00s
00h33m06s -13d22m00s
00h33m06s -13d27m00s
00h33m06s -32d16m00s
00h33m12s +48d30m00s
00h33m42s +30d43m00s
00h34m00s -09d42m00s
00h34m00s -09d42m00s
00h34m06s -12d39m00s
00h34m12s -02d11m00s
00h34m18s -31d47m00s
00h34m18s -27d48m00s
00h34m18s -02d05m00s
00h34m24s +12d17m00s
00h34m36s -08d21m00s
00h34m36s -55d47m00s
00h34m36s -30d01m00s
00h34m42s -10d46m00s
00h34m48s -08d24m00s
00h34m54s -08d19m00s
00h35m00s -02d08m00s
00h35m06s -02d08m00s
00h35m06s -09d34m00s
00h35m18s -23d22m00s
00h35m30s -02d50m00s
00h35m30s -02d51m00s
00h35m36s +09d08m00s
00h35m48s -13d37m00s
00h35m48s -73d11m00s
00h35m48s -25d22m00s
00h36m00s -10d07m00s
00h36m06s +23d57m00s
00h36m06s +23d58m00s
00h36m30s +02d45m00s
00h36m30s -10d06m00s
00h36m42s -22d36m00s
00h36m42s +01d51m00s
00h36m54s +23d59m00s
00h36m54s -29d29m00s
00h36m54s +23d59m00s
00h37m12s +01d56m00s
00h37m18s -22d36m00s
00h37m24s -19d56m00s
00h37m24s -19d56m00s
00h37m30s -22d34m00s
00h37m42s +10d21m00s
00h37m42s +02d40m00s
00h37m48s -17d53m00s
00h37m48s -15d26m00s
00h38m00s +08d38m00s
00h38m12s +29d28m00s
00h38m12s +02d44m00s
00h38m18s +29d30m00s
00h38m30s +29d26m00s
00h38m30s +03d09m00s
