M   1                                1952
M   2                                7089
M   3                                5272
M   4                                6121
M   5                                5904
M   6                                6405
M   7                                6475
M   8                                6523
M   9                                6333
M  10                                6254
M  11                                6705
M  12                                6218
M  13                                6205
M  14                                6402
M  15                                7078
M  16                                6611
M  17                                6618
M  18                                6613
M  19                                6273
M  20                                6514
M  21                                6531
M  22                                6656
M  23                                6494
M  24                                4715
M  25                               I4725
M  26                                6694
M  27                                6853
M  28                                6626
M  29                                6913
M  30                                7099
M  31                                 224
M  32                                 221
M  33                                 598
M  34                                1039
M  35                                2168
M  36                                1960
M  37                                2099
M  38                                1912
M  39                                7092
M  40
M  41                                2287
M  42                                1976
M  43                                1982
M  44                                2632
M  45
M  46                                2437
M  47                                2422
M  48                                2548
M  49                                4472
M  50                                2323
M  51                                5194
M  51                                5195
M  52                                7654
M  53                                5024
M  54                                6715
M  55                                6809
M  56                                6779
M  57                                6720
M  58                                4579
M  59                                4621
M  60                                4649
M  61                                4303
M  62                                6266
M  63                                5055
M  64                                4826
M  65                                3623
M  66                                3627
M  67                                2682
M  68                                4590
M  69                                6637
M  70                                6681
M  71                                6838
M  72                                6981
M  73                                6994
M  74                                 628
M  75                                6864
M  76                                 650
M  76                                 651
M  77                                1068
M  78                                2068
M  79                                1904
M  80                                6093
M  81                                3031
M  82                                3034
M  83                                5236
M  84                                4374
M  85                                4382
M  86                                4406
M  87                                4486
M  88                                4501
M  89                                4552
M  90                                4569
M  91                                4548
M  92                                6341
M  93                                2447
M  94                                4736
M  95                                3351
M  96                                3368
M  97                                3587
M  98                                4192
M  99                                4254
M 100                                4321
M 101                                5457
M 102
M 103                                 581
M 104                                4594
M 105                                3379
M 106                                4258
M 107                                6171
M 108                                3556
M 109                                3992
M 110                                 205
